dob,firstName,height,id,lastName,nickname,positionGroupType
1996-09-02,Moisés,175.0,16176,Vieira da Veiga,Moisés,F
1990-12-09,Gabriel,178.0,17970,Carabajal,Gabriel Carabajal,M
1997-06-30,Yeferson,160.0,3084,Soteldo,Yeferson Soteldo,F
1992-01-02,Jhon,194.0,18491,Chancellor,Jhon Chancellor,D
1994-08-11,David,176.0,15779,Terans,David Terans,M
1996-11-05,Pedro,193.0,6575,Raúl,Pedro Raúl,F
1989-07-29,Julio,188.0,3562,Furch,Julio Furch,F
1998-11-08,Leonardo,166.0,3335,Fernández,Leonardo Fernández,M
1993-04-23,Washington,187.0,3697,Aguerre,Washington Aguerre,GK
1997-09-05,Maximiliano,176.0,7385,Silvera,Maximiliano Silvera,F
1992-07-04,Ángel,176.0,7663,Romero,Ángel Romero,F
1996-12-04,Diogo,193.0,6598,De Oliveira,Diogo De Oliveira,F
1990-05-20,Rafael,186.0,6918,Cabral,Rafael,GK
1994-02-02,Tobias,188.0,7010,Figueiredo,Tobias Figueiredo,D
2000-06-02,Richard,187.0,3658,Rios,Richard Rios,M
1993-04-23,Washington,187.0,3697,Aguerre,Washington Aguerre,GK
1993-07-10,Jesús,178.0,7093,Trindade,Jesús Trindade,M
1992-07-04,Ángel,176.0,7663,Romero,Ángel Romero,F
1997-06-30,Yeferson,160.0,3084,Soteldo,Yeferson Soteldo,F
1998-11-08,Leonardo,166.0,3335,Fernández,Leonardo Fernández,M
1997-09-05,Maximiliano,176.0,7385,Silvera,Maximiliano Silvera,F
1996-12-04,Diogo,193.0,6598,De Oliveira,Diogo De Oliveira,F
1989-07-29,Julio,188.0,3562,Furch,Julio Furch,F
1994-06-23,Higor,186.0,3533,Meritão,Higor Meritão,M
1997-09-05,Maximiliano,176.0,7385,Silvera,Maximiliano Silvera,F
1997-05-06,Nathan,182.0,15814,Silva,Nathan Silva,D
1992-07-04,Ángel,176.0,7663,Romero,Ángel Romero,F
1998-11-08,Leonardo,166.0,3335,Fernández,Leonardo Fernández,M
1990-12-09,Gabriel,178.0,17970,Carabajal,Gabriel Carabajal,M
1994-06-23,Higor,186.0,3533,Meritão,Higor Meritão,M
1996-12-04,Diogo,193.0,6598,De Oliveira,Diogo De Oliveira,F
1989-07-29,Julio,188.0,3562,Furch,Julio Furch,F
1993-07-10,Jesús,178.0,7093,Trindade,Jesús Trindade,M
1998-11-08,Leonardo,166.0,3335,Fernández,Leonardo Fernández,M
1992-07-04,Ángel,176.0,7663,Romero,Ángel Romero,F
1996-12-04,Diogo,193.0,6598,De Oliveira,Diogo De Oliveira,F
1997-06-30,Yeferson,160.0,3084,Soteldo,Yeferson Soteldo,F
1989-07-29,Julio,188.0,3562,Furch,Julio Furch,F
1989-09-02,Alexandre,180.0,2493,Pato,Alexandre Pato,F
2000-10-31,Thiago,179.0,3270,Andrade,Thiago Andrade,F
1996-10-11,Alan,183.0,2346,Franco,Alan Franco,D
1999-04-14,Nicolás,173.0,978,Acevedo,Nicolás Acevedo,M
1997-04-26,Jhegson,170.0,1034,Méndez,Jhegson Méndez,M
1989-03-10,Júnior,181.0,1036,Urso,Júnior Urso,M
1995-06-25,Marcelino,175.0,2353,Moreno,Marcelino Moreno,M
1996-06-02,Luiz,175.0,3963,Araújo,Luiz Araújo,F
1990-01-06,Alex,173.0,9174,Teixeira,Alex Teixeira,F
2002-07-11,Pedro Henrique,177.0,16754,Azevedo Pereira,Pedrinho,D
1992-03-11,Carlos,177.0,8380,De Peña,Carlos De Peña,F
1987-05-22,Arturo,180.0,1527,Vidal,Arturo Vidal,M
1995-03-20,Leo,188.0,3939,Jardim,Leo Jardim,GK
1987-04-04,Júnior,176.0,9115,Moraes,Júnior Moraes,F
1995-09-07,Marlon,182.0,8644,da Silva,Marlon,D
2000-02-02,Vitor,185.0,9114,da Silva Matos,Vitão,D
2004-08-09,Eguinaldo,175.0,18436,de Sousa Lemos,Eguinaldo,F
1998-04-13,Pedro,172.0,9176,Delmino,Pedrinho,F
1997-03-30,Bruno,175.0,8084,Ramos,Bruno Tabata,F
1997-07-15,Maycon,173.0,9113,Barberan,Maycon,M
1987-01-24,Luis,182.0,1535,Suarez,Luis Suarez,F
1999-04-01,Vitor,181.0,8378,dos Santos,Vitinho,F
2003-06-11,Kayky,172.0,5959,Chagas,Kayky,F
1985-05-04,Fernando,179.0,19,Luiz Roza,Fernandinho,M
2001-02-06,Natan,188.0,18015,Bernardo de Souza,Natan,D
1993-03-07,Gilberto,181.0,7997,Moraes Júnior,Gilberto,D
1996-03-22,Everton,174.0,8006,Sousa Soares,Everton,M
1988-06-18,Islam,188.0,1961,Slimani,Islam Slimani,F
1988-05-12,Marcelo,174.0,1680,da Silva,Marcelo,D
1991-07-12,Rodrigo,187.0,13211,Battaglia,Rodrigo Battaglia,M
1993-06-11,Helibelton,181.0,13239,Palacios,Helibelton Palacios,D
1993-11-03,Rodrigo,188.0,1478,Ely,Rodrigo Ely,D
2001-03-24,Lucas,182.0,17958,Pires,Lucas Pires,D
1991-06-22,Hugo,174.0,1458,Mallo,Hugo Mallo,D
1993-02-26,Jese,178.0,12367,Rodríguez Ruiz,Jese,F
1987-08-03,Gary,171.0,12735,Medel,Gary Medel,D
2001-02-06,Natan,188.0,18015,Bernardo de Souza,Natan,D
1988-01-13,Tomas,177.0,12769,Rincon,Tomas Rincon,M
1995-09-07,Marlon,182.0,8644,da Silva,Marlon,D
1998-08-21,Alan,175.0,7571,Franco,Alan Franco,M
1994-06-01,Giorgian,174.0,13930,De Arrascaeta,Giorgian De Arrascaeta,M
1987-01-24,Luis,182.0,1535,Suarez,Luis Suarez,F
1997-04-26,Jhegson,170.0,1034,Méndez,Jhegson Méndez,M
1997-03-14,José Luis,183.0,13931,Rodríguez,José Luis Rodríguez,RB
1989-04-10,Everton,174.0,13831,Ribeiro,Everton Ribeiro,M
1993-03-24,Guillermo,173.0,13927,Varela,Guillermo Varela,D
1998-10-01,Agustin,175.0,13928,Canobbio,Agustin Canobbio,F
1991-10-22,Robert,189.0,13936,Arboleda,Robert Arboleda,D
1997-06-20,Pedro,185.0,13830,Guilherme,Pedro,F
1993-03-23,Sergio,190.0,13924,Rochet,Sergio Rochet,GK
1989-11-04,Enner,177.0,11960,Valencia,Enner Valencia,F
1987-12-13,Weverton,189.0,13829,Pereira da Silva,Weverton,GK
1994-01-28,Leonel,176.0,14526,Di Placido,Leonel Di Placido,D
1998-08-21,Alan,175.0,7571,Franco,Alan Franco,M
1992-04-03,Juan,171.0,14774,Cazares,Juan Cazares,M
1995-11-03,Matías,180.0,14399,Rojas,Matías Rojas,M
2001-10-14,Lucas,183.0,14806,Esquivel,Lucas Esquivel,D
2000-01-15,Imanol,170.0,14817,Machuca,Imanol Machuca,F
2003-01-22,Lucas,176.0,15054,Besozzi,Lucas Besozzi,F
1988-10-15,Pablo,187.0,14846,Vegetti,Pablo Vegetti,F
2002-05-16,Bruno,181.0,14845,Zapelli,Bruno Zapelli,F
2004-02-14,Wendell Silva,,18863,Santos dos Santos,Wendell,RW
2005-07-24,Leonardo,,24492,Derik,Leonardo Derik,LB
1986-10-19,Joel,193.0,17933,Carli,Joel Carli,D
2001-03-20,Nathan,186.0,17994,Melo,Nathan Melo,M
2004-03-14,Leo,181.0,24061,Azevedo,Leo Azevedo,DM
2001-10-17,Werik,190.0,18394,Popó,Werik Popó,F
2001-06-06,Reinaldo,177.0,18595,Nascimento Satorno,Reinaldo Nascimento Satorno,RW
2004-07-26,Edney,172.0,24062,Santos da Silva,Edney,RB
2006-05-12,João,170.0,24915,Cruz,João Cruz,M
2002-09-01,Matheus,191.0,18508,Cadorini,Matheus Cadorini,F
2007-04-24,Estêvão Willian,176.0,24621,Almeida,Estevão,RW
2003-03-17,Arthur,173.0,18077,Augusto de Matos Soares,Arthur,D
1994-03-28,Vinicius,195.0,16548,Silvestre,Vinicius Silvestre,GK
2004-02-20,Gustavo Xavier,,24603,Teixeira,Xavier,LB
2003-10-14,Ruan,,24664,Santos,Ruan Santos,RCB
2001-01-25,Julimar,182.0,19335,Silva Oliveira Junior,Julimar,CF
1999-10-26,Jhonata,179.0,18484,Robert,Jhonata Robert,F
2003-05-01,Eduardo,,18836,Simioni,Eduardo Simioni,M
2002-03-02,Ronald,174.0,18780,Barcellos,Ronald Barcellos,CF
2004-11-14,Leandro Mathias,187.0,18818,Silva Bueno,Leandro,GK
1999-02-25,Henrique,185.0,20685,Vermudt,Henrique Vermudt,RCB
2004-08-07,Luiz,178.0,24544,Felipe,Luiz Felipe,AM
2003-06-19,Éberth,195.0,24914,Araújo Nogueira,Éberth,CF
2006-08-07,Halerrandrio,175.0,24908,dos Santos Feitosa,Halerrandrio,RW
2004-09-10,Arthur,178.0,18880,Zanella,Arthur Zanella,LB
2001-12-21,Sammuel,177.0,16179,Queiroz De Freitas,Sammuel,M
1999-02-13,Vitor,186.0,16157,Mendes,Vitor Mendes,D
2004-04-30,Vinicius,177.0,18823,Rangel,Vinicius Rangel,LB
2003-04-16,Ian,180.0,18351,Custódio,Ian Custódio,D
2005-05-07,Lyncon,186.0,19129,Côrrea Gonçalves,Lyncon,RCB
2001-01-20,Luan,184.0,16158,Freitas,Luan Freitas,D
2006-08-10,Ruan,,24308,Índio,Ruan Índio,CF
1996-02-13,Eduardo,187.0,17951,Bauermann,Eduardo Bauermann,D
2004-09-05,Arielson,,18812,Sampaio Galvão,Arielson,CF
2002-09-16,Gustavo,200.0,23350,Ramalho,Gustavo Ramalho,GK
2004-02-19,Caio,174.0,17892,Matheus da Silva,Caio,F
1993-05-20,Rafael,178.0,18545,Gava,Rafael Gava,M
2003-08-03,Felipe,187.0,18294,Motta,Felipe Motta,RCB
1999-02-02,Walce,188.0,23962,da Silva Costa Filho,Walce,RCB
1992-01-02,Jhon,194.0,18491,Chancellor,Jhon Chancellor,D
1999-01-31,Hugo,199.0,16133,Souza,Hugo Souza,GK
2003-07-15,Ryan,172.0,19470,Gustavo,Ryan Gustavo,M
2001-07-24,Wallison,177.0,23344,Nunes Silva,Wallison,RB
2004-07-22,Ythallo,,19613,Rodrigues de Oliveira,Ythallo,RCB
2004-01-09,Freddy,,19907,Noguera,Freddy Noguera,CF
2002-05-04,Gabriel Caetano,191.0,23318,Godoy de Andrade,Caetano,LCB
2002-07-11,Pedro Henrique,177.0,16754,Azevedo Pereira,Pedrinho,D
2000-06-15,Fabrício,190.0,19541,Oliveira de Souza,Fabrício,GK
2002-02-21,Carlos Eduardo,170.0,17961,Bertolassi da Silva,Cadu,D
2004-01-08,José,174.0,18621,Welinton,José Welinton,LB
1994-04-10,Luiz Antonio,184.0,18083,Ferreira Rodrigues,Felipe,M
2002-07-20,João,188.0,18537,Maranini,João Maranini,D
2003-07-10,João,181.0,23349,Neto,João Neto,LW
2002-05-12,Everton,184.0,18572,Macedo Moraes,Everton,F
1996-02-17,Renato,178.0,16165,Kayzer,Renato Kayzer,F
2003-01-15,Ighor,176.0,24601,Gabryel,Ighor Gabryel,CF
1988-05-21,Felipe,187.0,17874,Alves,Felipe Alves,GK
2001-01-18,Bryan,175.0,15789,García,Bryan García,M
2004-01-01,Giovani,184.0,16553,Amorim da Silva,Giovani,F
2001-10-13,Igo,190.0,17927,Gabriel,Igo Gabriel,GK
2005-01-02,Viery,185.0,19454,Fernandes Santos Lopes,Viery,LCB
2004-06-17,Kauan,165.0,24060,Santos,Kauan Santos,CM
1995-08-20,Luis,180.0,17883,Orejuela,Luis Orejuela,D
2002-04-16,Jhonny,179.0,18390,Cardinoti Pedro,Jhonny,D
2007-04-02,Matheus,180.0,24042,Reis,Matheus Reis,LW
2000-03-12,Newton,,24481,da Costa Júnior,Newton,CM
1999-06-17,Halls,198.0,18417,Rocha da Silva,Halls,GK
2006-01-01,Eduardo,177.0,19579,Anastacio,Dudu,AM
2005-04-16,Kauan,174.0,18085,Rodrigues da Silva,Kauan,M
2005-03-22,Agner,,23351,Izigethy de Souza,Agner,F
2003-03-13,Matheus,186.0,17878,Belém,Matheus Belém,D
1985-09-21,Pedro,190.0,18469,Geromel,Pedro Geromel,D
1999-02-16,Breno,189.0,18010,Herculano,Breno Herculano,F
1997-02-08,Dadá,172.0,17917,Belmonte,Dadá Belmonte,F
2000-01-07,Du,172.0,16023,Queiroz,Du Queiroz,M
2001-08-23,Eder,171.0,18813,Maciel Lopes,Edinho,DM
1996-09-02,Moisés,175.0,16176,Vieira da Veiga,Moisés,F
2001-06-07,Lucas,185.0,18009,Emmanuel,Lucas Emmanuel,F
1998-03-25,Lucas,188.0,23117,Rafael,Lucas Rafael,RCB
2003-01-20,Denzel,191.0,23519,Damasceno,Denzel Damasceno,CF
2004-01-19,Leonardo,175.0,19578,Ataíde,Leonardo Ataíde,RB
2003-02-22,Henrique,,24318,Cardoso,Henrique Cardoso,DM
2005-05-23,Paulo,172.0,18577,de Souza Babilônia,Paulinho,D
2005-03-16,José Guilherme,,18617,de Lima Costa,Zé Guilherme,LB
2004-08-16,Marcelo,178.0,19910,Braz,Marcelinho,AM
2004-03-26,Isaac,185.0,18364,Tomich,Isaac,F
2004-11-26,Lucas,163.0,19568,Ronier,Lucas Ronier,RW
1999-11-10,Pedro,176.0,18113,Pereira Lopes,Pedrinho,F
2003-07-03,Lucas,185.0,22090,Justen,Lucas Justen,RB
2002-05-02,Mateus,199.0,14223,Oliveira,Mateus Oliveira,GK
2005-04-12,Luis,175.0,24319,Fernando,Luis Fernando,RW
2000-06-22,Diego,175.0,15411,Hernández,Diego Hernández,F
2002-04-25,Juan Pablo,179.0,19127,Vilela Tavares,Juan Pablo,LB
1993-12-22,William,182.0,18504,Pottker,William Pottker,F
2002-04-16,Ivonei,175.0,17968,da Silva Rabelo,Ivonei,M
2002-03-07,Young,202.0,17875,Navarro Moraes,Young,GK
2000-07-11,Paulo,188.0,17949,Mazoti,Paulo Mazoti,GK
2005-03-15,Gustavo,,24440,Dohmann,Gustavo Dohmann,DM
1993-04-22,Rosicley,170.0,22797,Pereira da Silva,Rossi,RW
2004-06-29,Paulo Ricardo,,23375,Alves Ibelli,Paulinho,DM
1997-01-23,Lucas,186.0,11542,Cunha,Lucas Cunha,D
1998-02-15,Felipe,172.0,17957,Jonatan,Felipe Jonatan,D
2001-04-09,Victor,180.0,18551,Yan,Victor Yan,M
2004-07-16,Emersonn,186.0,19580,Correia da Silva,Emersonn,RW
2005-09-22,Adyson,168.0,17916,do Nascimento Soares,Adyson,F
2003-10-24,Talles,180.0,24556,Wander,Talles Wander,CF
2003-02-28,Evertton,,23959,Fernandes Araújo,Evertton,DM
2004-02-14,Rafael,173.0,19576,Monteiro,Rafael Monteiro,D
,Jonathan,180.0,24909,Alecxander,Jonathan Alecxander,RCB
2001-07-30,Daniel,171.0,16378,Ruiz Rivera,Daniel Ruiz Rivera,F
1991-05-27,Henrique,177.0,17921,Almeida,Henrique Almeida,F
1993-07-10,Jesús,178.0,7093,Trindade,Jesús Trindade,M
2001-05-20,Rwan,187.0,17977,Seco,Rwan Seco,F
2005-02-28,Vitor,172.0,15792,Roque,Vitor Roque,F
2000-07-12,Kayque,176.0,17940,Pereira,Kayque,M
2001-03-24,Lucas,182.0,17958,Pires,Lucas Pires,D
1999-04-13,Erison Danilo,180.0,13500,de Souza,Erison,F
2006-08-03,Rayan,185.0,18837,Vitor,Rayan Vitor,RW
1987-05-22,Arturo,180.0,1527,Vidal,Arturo Vidal,M
1992-02-04,Tadeu,184.0,17979,Ferreira,Tadeu,GK
2002-08-30,Sandry,174.0,17966,Santos Goes,Sandry,M
2003-05-24,Mateo,183.0,15455,Ponte,Mateo Ponte,D
2001-02-02,Luan,187.0,18019,Cândido,Luan Cândido,D
2005-06-20,João Vitor,,24314, Araujo Da Silva,João Vitor,DM
1995-10-02,Hayner,178.0,23130,Monjardim Cordeiro,Hayner,RB
2006-02-11,Yago,,24910,Souza,Yago Souza,AM
1991-04-15,Vinícius Goes,177.0,18481,Barbosa de Souza,Vina,M
2000-06-24,Lucas,171.0,5203,Esteves,Lucas Esteves,D
1998-02-07,Igor Matheus,177.0,18497,Liziero Pereira,Liziero,M
2001-05-24,Brayan,189.0,16181,Ceballos,Brayan Ceballos,D
1995-10-02,Pedro,188.0,16742,Henrique,Pedro Henrique,D
2004-01-22,Thauan,176.0,16255,Lara,Thauan Lara,D
2003-02-15,Jean,172.0,19550,Gabriel,Jean Gabriel,CM
2000-03-29,Gabriel,192.0,18462,Grando,Gabriel Grando,GK
1998-09-14,Gabriel,197.0,18509,Mesquita,Gabriel Mesquita,GK
1989-09-02,Alexandre,180.0,2493,Pato,Alexandre Pato,F
2003-04-03,Yago,182.0,24911,Santos,Yago Santos,CM
2002-01-08,Bernardo,186.0,18565,Marcos Lemes,Bernardo,M
1993-06-16,Renzo,178.0,17055,Saravia,Renzo Saravia,RB
1994-02-18,Richard,191.0,18519,Candido Coelho,Richard,M
1999-11-06,Alix,195.0,18817,Vinicius,Alix Vinicius,RCB
2004-08-09,Eguinaldo,175.0,18436,de Sousa Lemos,Eguinaldo,F
2004-03-23,Pedro,182.0,18002,Junqueira,Pedro Junqueira,F
1993-03-24,Guillermo,173.0,13927,Varela,Guillermo Varela,D
1994-08-03,Mateus,194.0,18441,Claus,Claus,GK
1996-10-02,Róger,182.0,16008,Guedes,Róger Guedes,F
1988-06-19,Aloísio,170.0,17923,dos Santos Gonçalves,Aloísio,F
2001-02-01,Marcos,186.0,13223,Paulo,Marcos Paulo,F
2005-11-20,Gustavo,,19908,Gomes,Gustavo Gomes,AM
1997-03-07,Victor Hugo,186.0,18443,Soares dos Santos,Kanu,D
2003-04-16,Kaique,192.0,18349,Pereira,Kaique,GK
1989-06-13,Andreas,189.0,13601,Samaris,Andreas Samaris,DM
1991-06-22,Hugo,174.0,1458,Mallo,Hugo Mallo,D
1996-06-21,Alfredo,177.0,23510,Morelos,Alfredo Morelos,CF
2002-11-09,João Luiz,196.0,19607,da Silva Cipriano,Cipriano,LCB
1997-01-03,Jefferson,176.0,24315, Antonio da Silva,Jefferson,LB
1988-06-18,Islam,188.0,1961,Slimani,Islam Slimani,F
2002-01-23,Anthoni,193.0,16247,Spier Souza,Anthoni,GK
1992-01-09,Esteban,191.0,1769,Burgos,Esteban Burgos,D
2003-02-26,Natan,199.0,24912,Rodrigues de Sales,Natan,GK
1989-03-10,Júnior,181.0,1036,Urso,Júnior Urso,M
1994-08-11,David,176.0,15779,Terans,David Terans,M
1987-04-04,Júnior,176.0,9115,Moraes,Júnior Moraes,F
1999-04-21,Rafael,174.0,18531,Bilu,Rafael Bilu,F
1998-10-07,Matheusinho,175.0,18570,da Silva Duarte,Matheusinho,D
2004-12-26,Daniel,,18811,Nolasco,Daniel Nolasco,RCB
1993-09-23,Jonathan,181.0,17894,Calleri,Jonathan Calleri,F
1998-05-11,Caio,184.0,17893,Paulista,Caio Paulista,F
1992-08-24,Jemerson,184.0,6644,de Jesus Nascimento,Jemerson,D
2001-09-05,Nathan,183.0,18114,Santos de Araújo,Nathan,D
1998-04-16,Darlan,171.0,18477,Pereira Mendes,Darlan,M
1990-12-09,Gabriel,178.0,17970,Carabajal,Gabriel Carabajal,M
2006-02-28,João Henrique,,18860,Mendes da Silva,Esquerdinha,LB
2001-08-14,Lucas,178.0,18434,Figueiredo dos Santos,Lucas Figueiredo,F
2000-09-01,Breno,177.0,17936,Rodrigues da Silva,Breno,M
2004-10-11,Renato,188.0,19126,Santos,Renato Santos,RCB
1996-03-05,Gabriel,173.0,18501,Boschilia,Boschilia,M
1999-05-28,Vinicius,178.0,17962,Balieiro,Vinicius Balieiro,M
2003-01-20,Tiago,194.0,18599,Gomes,Tiago Gomes,GK
1999-03-30,Wesley,175.0,18576,Ribeiro Silva,Wesley,F
2004-04-25,Miguel,177.0,18304,Terceros,Miguel Terceros,AM
2002-02-03,Estêvão,176.0,16249,Barreto de Oliveira,Estêvão,M
1998-02-11,Matheus Leonardo,164.0,17909,Sales Cardoso,Matheusinho,M
1994-06-01,Giorgian,174.0,13930,De Arrascaeta,Giorgian De Arrascaeta,M
1992-02-06,José Rodolfo,177.0,16726,Pires Ribeiro,Dodô,D
2003-04-25,Cleiton,194.0,16121,Santana dos Santos,Cleiton,D
2002-01-20,Thalisson,190.0,18492,Pereira Moreira,Thalisson,D
2002-06-24,Pedro,180.0,22099,Cunha Scaramussa,Pedrinho,LB
2002-05-08,Kaiky,182.0,16564,Naves,Kaiky Naves,D
1994-12-15,Matheus,190.0,17981,Alves,Matheus Alves,GK
2002-05-17,Matheus,187.0,16022,Donelli,Matheus Donelli,GK
2001-12-26,Marcos,184.0,18446,Victor,Marcos Victor,D
2006-07-04,Lorran,180.0,23508,Lucas,Lorran Lucas,AM
2005-10-18,Gustavo,198.0,18861,Henrique,Gustavo Henrique,LCB
1994-06-23,Higor,186.0,3533,Meritão,Higor Meritão,M
2000-03-13,Wesley,170.0,18517,Gasolina,Wesley Gasolina,D
2001-09-20,João Lucas,186.0,16251,de Souza Cardoso,Johnny Cardoso,M
1989-09-10,Marcos,174.0,16150,da Silva França,Keno,F
2004-01-10,Pedro,191.0,19567,Luccas,Pedro Luccas,GK
1997-12-10,Lucas,197.0,17924,Perri,Lucas Perri,GK
1992-03-11,Carlos,177.0,8380,De Peña,Carlos De Peña,F
1992-02-06,Maurício,183.0,23352,Antônio,Maurício Antônio,RCB
1994-10-01,Pedro,175.0,16183,Rocha,Pedro Rocha,F
1996-02-06,Iago,195.0,17901,Maidana,Iago Maidana,D
1992-01-06,Magno José,175.0,17991,da Silva,Maguinho,D
2001-02-06,Natan,188.0,18015,Bernardo de Souza,Natan,D
1995-10-31,Jackson Diego,175.0,18084,Ibraim Fagundes,Dieguinho,M
2002-07-02,Gabriel,195.0,18717,Perieira,Gabriel Pereira,GK
1989-07-10,Alan,178.0,16144,Borges de Carvalho,Alan,F
2000-07-09,Robson,187.0,17900,dos Santos Nascimento,Robson,GK
1990-02-26,Manoel,181.0,16151,Silva Carvalho,Manoel,D
1997-08-11,Gabriel,171.0,17885,Neves,Gabriel Neves,M
2003-07-16,Rikelme,184.0,18550,Amorim Rocha,Rikelme,M
1998-10-20,Jacob,180.0,7144,Montes,Jacob Montes,M
1997-04-14,Guilherme,176.0,15801,Arana,Guilherme Arana,D
2002-05-14,Ryan Carlos,172.0,18450,Santos De Sousa,Ryan Carlos Santos De Sousa,D
2000-10-20,Hércules,178.0,16184,Pereira do Nascimento,Hércules,M
1999-04-16,Vinicius,188.0,18534,Barreta,Vinicius Barreta,GK
2004-01-31,Rômulo,183.0,19909,Pereira,Rômulo,RCB
1997-07-31,Luan,181.0,18697,Dias,Luan Dias,AM
1999-04-12,Rafael,179.0,20673,Elias,Rafael Elias,CF
1998-03-23,Adryelson,184.0,17928,Silva,Adryelson,D
2005-02-24,Arthur,,18667,Wenderroscky,Arthur,AM
1990-03-17,Aderbar Melo,188.0,16123,dos Santos,Santos,GK
1996-10-04,Felipe,177.0,18479,Carballo,Felipe Carballo,M
1994-01-28,Leonel,176.0,14526,Di Placido,Leonel Di Placido,D
2000-03-08,Felipe,196.0,18464,Scheibig,Felipe Scheibig,GK
1989-04-27,Junior,173.0,12107,Caicara,Junior Caicara,D
1995-01-06,Raphael,178.0,11678,Guzzo,Raphael Guzzo,M
1988-01-13,Tomas,177.0,12769,Rincon,Tomas Rincon,M
1997-08-19,Cleiton,190.0,18087,Schwengber,Cleiton,GK
1988-03-12,Christian,188.0,16186,Chagas Tarouco,Titi,D
1993-03-07,Gilberto,181.0,7997,Moraes Júnior,Gilberto,D
1987-03-29,Dimitri,175.0,3990,Payet,Dimitri Payet,F
1989-12-18,Edenilson,175.0,15817,Andrade dos Santos,Edenilson,M
2001-01-06,Diogenes,186.0,17950,Vinicius da Silva,Diogenes,GK
1993-11-03,Rodrigo,188.0,1478,Ely,Rodrigo Ely,D
2006-03-15,William,,24543,Gomes,William Gomes,F
2005-03-07,Jair,195.0,24122,Paula,Jair Paula,RCB
1987-11-18,Walter,188.0,18532,Capeloza Artune,Walter,GK
2003-12-31,João Pedro,192.0,19472,de Sousa Rodrigues,Tchoca,D
